,Title,Published_date,Views,Likes,Comments,month
94,Lana Del Rey - Shades of Cool (Official Audio),2014-05-26,14351821,162768,6854,May
95,Lana Del Rey - West Coast,2014-05-07,192794840,1464627,28839,May
96,Lana Del Rey - West Coast (Official Audio),2014-04-14,63739548,484255,17483,Apr
97,"Lana Del Rey, Cedric Gervais - Summertime Sadness [Lana Del Rey vs. Cedric Gervais]",2014-02-12,15016071,196213,2049,Feb
98,Lana Del Rey - Once Upon A Dream (Official Audio),2014-02-04,52245798,729985,18191,Feb
99,Lana Del Rey - Tropico (Short Film) (Explicit),2013-12-06,10518545,278735,15375,Dec
100,Lana Del Rey - Tropico (Official Music Video),2013-12-05,45330,3297,1116,Dec
101,LANA DEL REY - TROPICO TRAILER,2013-12-04,996920,13973,790,Dec
102,LANA DEL REY - TROPICO TRAILER,2013-11-29,893153,13707,768,Nov
103,Lana Del Rey - Tropico (Trailer),2013-11-22,2214438,46753,2261,Nov
104,LANA DEL REY - TROPICO TEASER 2,2013-11-10,827342,15301,1807,Nov
105,Lana Del Rey - Tropico Teaser,2013-11-06,2003955,24082,3690,Nov
106,Lana Del Rey - Summertime Sadness (Official Music Video),2013-08-23,509366289,5530567,107944,Aug
107,Lana Del Rey - Young and Beautiful,2013-05-10,594794812,4486034,111508,May
108,Lana Del Rey - Young and Beautiful (DH Orchestral Version),2013-04-22,11183281,131728,3182,Apr
109,"Lana Del Rey - Young and Beautiful (from ""The Great Gatsby"" Soundtrack)",2013-04-22,55786003,372190,15122,Apr
110,*SUMMER WINE*,2013-04-18,54155998,532291,17601,Apr
111,Lana Del Rey - Chelsea Hotel No 2,2013-03-28,25171843,237380,11510,Mar
112,Lana Del Rey - Burning Desire,2013-02-14,67282029,418354,15082,Feb
113,Lana Del Rey - Ride,2012-10-12,156517072,1398307,83175,Oct
114,LANA DEL REY - RIDE (OFFICIAL AUDIO),2012-09-25,75637733,365393,14258,Sep
115,Lana Del Rey - National Anthem,2012-09-05,101046173,1132177,39647,Sep
116,Lana Del Rey - Summertime Sadness,2012-07-20,425580676,2647838,83942,Jul
117,"LANA DEL REY - '""NATIONAL ANTHEM"" (OFFICIAL VIDEO)",2012-06-27,28072690,344766,24439,Jun
118,LANA DEL REY - NATIONAL ANTHEM TRAILER,2012-06-26,3380892,22207,1519,Jun
119,LANA DEL REY - CARMEN,2012-04-21,49732641,414489,16796,Apr
120,Lana Del Rey - Blue Jeans,2012-03-20,375664992,2209480,61864,Mar
121,Lana Del Rey - Blue Jeans (Official Video),2012-03-20,78796691,533121,10830,Mar
122,LANA DEL REY - A FILM BY INTERVIEW MAGAZINE,2012-01-28,1761503,18000,1032,Jan
123,Lana Del Rey - Video Games (Live on SNL),2012-01-16,5841568,55452,1806,Jan
124,Lana Del Rey - Blue Jeans (Live on SNL),2012-01-16,6780524,96459,9321,Jan
125,YAYO,2011-12-24,7621191,94526,3997,Dec
126,LANA DEL REY- BORN TO DIE,2011-12-20,75185273,531816,11238,Dec
127,Lana Del Rey - Born To Die,2011-12-14,589593830,3551682,135263,Dec
128,Lana Del Rey - Born To Die (Official Audio),2011-12-01,20277532,81517,4242,Dec
129,Lana Del Rey - Video Games (Live At The Premises),2011-10-17,16739165,122763,7166,Oct
130,Lana Del Rey - Video Games,2011-10-16,334679527,2388790,68897,Oct
131,LANA DEL REY-BLUE JEANS,2011-09-09,21598345,108327,7823,Sep
132,LANA DEL REY ~ DIET MTN DEW,2011-06-13,5304574,65832,2647,Jun
