,Title,Published_date,Views,Likes,Comments,month
88,Zara Larsson - Last Summer (Official Audio),2021-05-21,449836,10654,675,May
89,Zara Larsson - Morning (Official Audio),2021-05-21,378821,7437,329,May
90,Zara Larsson - Never Forget You (Orchestral Version - Official Audio),2021-05-21,75660,3881,225,May
91,Zara Larsson - Right Here (Alok Remix - Official Audio),2021-05-21,134860,3683,127,May
92,Zara Larsson - Ruin My Life (Orchestral Version - Official Audio),2021-05-21,55319,2493,143,May
93,Zara Larsson - I Need Love (Live Version - Official Audio) ft. First Aid Kit,2021-05-21,35317,1966,103,May
94,Zara Larsson - Poster Girl Dance Party Trailer,2021-05-20,155688,8456,1091,May
95,Zara Larsson - WOW (Official Performance Music Video),2021-03-11,478366,14845,466,Mar
96,Zara Larsson - Talk About Love (Official Performance Music Video),2021-03-11,193458,5417,241,Mar
97,Zara Larsson - Love Me Land (Official Performance Music Video),2021-03-10,1313032,24695,864,Mar
98,Zara Larsson - Talk About Love (Live from Good Morning America),2021-03-10,164239,6544,272,Mar
99,Zara Larsson - Right Here (Official Performance Music Video),2021-03-10,534887,10260,378,Mar
100,Zara Larsson - I Need Love (Official Performance Music Video),2021-03-10,217401,6330,220,Mar
101,Zara Larsson - Ruin My Life (Official Performance Music Video),2021-03-10,557695,14136,580,Mar
102,Zara Larsson - Poster Girl (Official Performance Music Video),2021-03-10,954146,22729,740,Mar
103,Zara Larsson - Look What You've Done (Official Performance Music Video),2021-03-09,1839729,32737,1057,Mar
104,Behind the scenes with Zara Larsson,2021-03-08,343432,3241,242,Mar
105,[LIVE] Zara Larsson Live In Concert,2021-03-08,1402868,47917,2701,Mar
106,Zara Larsson - Poster Girl (Live) | Vevo Studio Performance,2021-03-05,889433,16187,646,Mar
107,Zara Larsson - Need Someone (Official Audio),2021-03-05,552814,9847,356,Mar
108,Zara Larsson - Need Someone (Official Lyric Video),2021-03-05,834336,16937,616,Mar
109,Zara Larsson - Right Here (Official Audio),2021-03-05,423876,8166,206,Mar
110,Zara Larsson - FFF (Official Audio),2021-03-05,940636,18412,794,Mar
111,Zara Larsson - I Need Love (Official Audio),2021-03-05,331014,6927,197,Mar
112,Zara Larsson - Stick With You (Official Audio),2021-03-05,348018,8924,298,Mar
113,Zara Larsson - What Happens Here (Official Audio),2021-03-05,190176,6198,236,Mar
