,Title,Published_date,Views,Likes,Comments,month
173,Dua Lipa - Hotter Than Hell (Live at Heaven 2016),2016-06-14,440570,9396,291,Jun
174,Dua Lipa - Hotter Than Hell (Official Video),2016-05-06,158266417,840530,14203,May
175,"Dua Lipa - Thinking Bout You // YouTube Music Foundry (Live at the YouTube Space, LA)",2016-04-26,1627779,24306,507,Apr
176,Dua Lipa - Last Dance [Stefan Ponce Remix] (Official Audio),2016-03-03,809157,6516,128,Mar
177,Dua Lipa - Last Dance [Trader Gold Remix] (Official Audio),2016-03-02,1749151,21363,315,Mar
178,Dua Lipa - Last Dance (Official Video),2016-02-18,136126504,712288,15277,Feb
179,Dua Lipa - Be The One [Dillistone Remix] (Official Audio),2016-01-28,2729308,22014,364,Jan
180,Dua Lipa - Be The One [Ten Ven Remix] (Official Audio),2015-12-07,177983,2166,57,Dec
181,Dua Lipa - Be The One [Take A Daytrip Remix] (Official Audio),2015-12-02,198580,2525,68,Dec
182,Dua Lipa - Be The One [Shy Luv Remix] (Official Audio),2015-11-16,237210,2577,86,Nov
183,Dua Lipa - Be The One (Official Music Video),2015-10-29,612592943,2598912,58411,Oct
184,"Dua Lipa - New Love // YouTube Music Foundry (Live at the YouTube Space, LA)",2015-10-23,1662784,22591,533,Oct
185,Dua Lipa - New Love,2015-08-28,6842,216,28,Aug
186,Dua Lipa - New Love (Official Video),2015-08-21,56101261,268495,7747,Aug
187,Dua Lipa - Good Times (Jamie XX Rework),2015-07-23,10171230,55315,1262,Jul
188,Dua Lipa - Thinking 'Bout You (demo),2015-07-16,957963,12338,251,Jul
189,Dua Lipa - Here (Alessia Cara Cover),2015-06-17,10006255,124440,2116,Jun
